  
 ----------------
 Bad Element Info
 ----------------
  
 Element         5766
         0.99847482473639126       -1.8133333510004485E-002   0.0000000000000000     
          1.0131755537843301       -1.2289900606898828E-002   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
         0.99736192479940855       -8.2150726122218638E-003   0.0000000000000000     
 Problems:
       Maximum Angle      156.75658160603908     
  
 //////////////////////////////////////////////////
 Element         5768
          1.0130726550098115        1.1550217920893035E-002   0.0000000000000000     
         0.99743068553555214        1.5431381510476651E-002   0.0000000000000000     
         0.99796099909719083        7.4902080855192873E-004   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
 Problems:
       Condition          5.7630558361187916     
       Edge Ratio         8.3330246016901199     
  
 //////////////////////////////////////////////////
  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.2084E-03      1.0564E+00      1.0136E+00      1.1074E+00      1.0941E-03      8.0595E+01      9.4004E+01      1.0000E+00
      1.0231E-03      1.0349E+00      1.0036E+00      1.0557E+00      9.8449E-04      8.6304E+01      9.4847E+01      1.0000E+00
      1.0231E-03      1.0352E+00      1.0036E+00      1.0559E+00      9.8442E-04      8.6293E+01      9.4861E+01      1.0000E+00
      1.0137E-03      1.0084E+00      1.0009E+00      1.0160E+00      9.9805E-04      8.7561E+01      9.1558E+01      1.0000E+00
      1.2088E-03      1.0568E+00      1.0138E+00      1.1081E+00      1.0940E-03      8.0553E+01      9.4042E+01      1.0000E+00
      1.0232E-03      1.0348E+00      1.0036E+00      1.0556E+00      9.8472E-04      8.6296E+01      9.4842E+01      1.0000E+00
      1.0231E-03      1.0352E+00      1.0036E+00      1.0560E+00      9.8449E-04      8.6301E+01      9.4834E+01      1.0000E+00
      1.0133E-03      1.0085E+00      1.0009E+00      1.0163E+00      9.9754E-04      8.7575E+01      9.1540E+01      1.0000E+00
      9.8605E-04      1.0025E+00      1.0003E+00      1.0046E+00      9.8169E-04      8.8623E+01      9.1126E+01      1.0000E+00
      9.9214E-04      1.0031E+00      1.0002E+00      1.0048E+00      9.8951E-04      8.8976E+01      9.1055E+01      1.0000E+00
      9.9188E-04      1.0029E+00      1.0002E+00      1.0046E+00      9.8941E-04      8.9002E+01      9.1018E+01      1.0000E+00
      9.9448E-04      1.0033E+00      1.0003E+00      1.0063E+00      9.8848E-04      8.8613E+01      9.1044E+01      1.0000E+00
      9.8603E-04      1.0025E+00      1.0003E+00      1.0045E+00      9.8166E-04      8.8623E+01      9.1124E+01      1.0000E+00
      9.9187E-04      1.0029E+00      1.0002E+00      1.0046E+00      9.8940E-04      8.9002E+01      9.1018E+01      1.0000E+00
      9.9214E-04      1.0031E+00      1.0002E+00      1.0048E+00      9.8951E-04      8.8976E+01      9.1054E+01      1.0000E+00
      9.9448E-04      1.0033E+00      1.0003E+00      1.0063E+00      9.8848E-04      8.8613E+01      9.1044E+01      1.0000E+00
      9.9420E-04      1.0028E+00      1.0002E+00      1.0060E+00      9.8941E-04      8.8786E+01      9.1002E+01      1.0000E+00
      9.8975E-04      1.0046E+00      1.0002E+00      1.0092E+00      9.8440E-04      8.9155E+01      9.1148E+01      1.0000E+00
      1.0021E-03      1.0014E+00      1.0003E+00      1.0025E+00      1.0000E-03      8.8595E+01      9.1297E+01      1.0000E+00
