  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.6306E-02      1.7323E+00      1.6162E+00      2.3153E+00      1.3148E-02      5.1345E+01      1.3733E+02      1.0000E+00
      6.4184E-02      1.1467E+00      1.0388E+00      1.2697E+00      5.6428E-02      7.6056E+01      1.0415E+02      1.0000E+00
      6.5217E-02      1.1560E+00      1.0415E+00      1.2896E+00      5.6868E-02      7.5451E+01      1.0435E+02      1.0000E+00
      6.3250E-02      1.0425E+00      1.0032E+00      1.0629E+00      6.1111E-02      8.7076E+01      9.3694E+01      1.0000E+00
      6.7811E-02      1.0595E+00      1.0052E+00      1.1006E+00      6.5632E-02      8.6430E+01      9.2817E+01      1.0000E+00
      6.4861E-02      1.1586E+00      1.0393E+00      1.2895E+00      5.6395E-02      7.6165E+01      1.0424E+02      1.0000E+00
      6.4536E-02      1.1442E+00      1.0410E+00      1.2697E+00      5.6661E-02      7.5333E+01      1.0425E+02      1.0000E+00
      6.7838E-02      1.0593E+00      1.0053E+00      1.1005E+00      6.5667E-02      8.6322E+01      9.2910E+01      1.0000E+00
      6.3305E-02      1.0426E+00      1.0033E+00      1.0629E+00      6.1184E-02      8.6965E+01      9.3785E+01      1.0000E+00
      1.6716E-02      1.0772E+00      1.0256E+00      1.1023E+00      1.6250E-02      7.8044E+01      1.0162E+02      1.0000E+00
